Date,equity
2016-11-10,9434.490336166498
2016-11-11,9409.862609701098
2016-11-14,9556.94704556924
2016-11-15,9591.017747109134
2016-11-16,9520.22442416169
2016-11-17,9622.01514223706
2016-11-18,9639.693865954356
2016-11-21,9701.457252855022
2016-11-22,9757.569510427205
2016-11-23,9828.703404337464
2016-11-25,9870.641634004103
2016-11-28,9735.029446685177
2016-11-29,9751.4183797425
2016-11-30,9785.14823713229
2016-12-01,9841.288007808553
2016-12-02,9787.070205154425
2016-12-05,9930.418275581407
2016-12-06,10030.172027424724
2016-12-07,10248.35468703125
2016-12-08,10352.25835905628
2016-12-09,10408.04932895887
2016-12-12,10269.426879141973
2016-12-13,10277.510769981156
2016-12-14,10124.645496468193
2016-12-15,10232.547150131666
2016-12-16,10153.730907771433
2016-12-19,10199.71940753622
2016-12-20,10340.487037856466
2016-12-21,10281.16344804737
2016-12-22,10207.234554221593
2016-12-23,10251.75316799423
2016-12-27,10303.222943300481
2016-12-28,10121.203288092789
2016-12-29,10074.318266428674
2016-12-30,10039.903063555777
2017-01-03,10177.615739818286
2017-01-04,10371.525546563817
2017-01-05,10227.111110925482
2017-01-06,10257.389115789605
2017-01-09,10150.546312339191
2017-01-10,10226.94272392235
2017-01-11,10323.854021296069
2017-01-12,10204.571238436258
2017-01-13,10289.410180416358
2017-01-17,10022.271595965316
2017-01-18,10122.046891528877
2017-01-19,10065.633498730875
2017-01-20,10144.916230837971
2017-01-23,10067.108966957043
2017-01-24,10314.54583126551
2017-01-25,10518.79844453445
2017-01-26,10532.709905568167
2017-01-27,10479.744472537115
2017-01-30,10308.906113956455
2017-01-31,10263.051966544825
2017-02-01,10321.600100175425
2017-02-02,10308.071346933342
2017-02-03,10373.660820832307
2017-02-06,10362.58591967591
2017-02-07,10394.06125311273
2017-02-08,10440.647522481404
2017-02-09,10522.65532924771
2017-02-10,10597.330782581435
2017-02-13,10677.731745333778
2017-02-14,10754.836881650925
2017-02-15,10851.035159833844
2017-02-16,10834.174175954018
2017-02-17,10898.164104232419
2017-02-21,11008.251067871122
2017-02-22,11012.262402732647
2017-02-23,10961.777162382816
2017-02-24,11012.652715609856
2017-02-27,11029.352137452233
2017-02-28,10930.596395911587
2017-03-01,11340.145332651418
2017-03-02,11109.822670859663
2017-03-03,11151.247344766793
2017-03-06,11048.380828088646
2017-03-07,10982.312857539555
2017-03-08,10942.0322983885
2017-03-09,10942.26932434195
2017-03-10,10990.316295223183
2017-03-13,11010.631393605137
2017-03-14,11078.542439366762
2017-03-15,10847.696375751577
2017-03-16,10781.49121400258
2017-03-17,10788.95899974204
2017-03-20,10796.481213794486
2017-03-21,10676.542701318967
2017-03-22,10661.611936078778
2017-03-23,10684.276847776468
2017-03-24,10676.695584513727
2017-03-27,10570.833103679857
2017-03-28,10675.753432485451
2017-03-29,10713.421686358855
2017-03-30,10843.82321799871
2017-03-31,10836.098049101613
2017-04-03,10836.098049101613
2017-04-04,10859.554590575819
2017-04-05,10851.54011662264
2017-04-06,10900.395761912298
2017-04-07,10997.972891993693
2017-04-10,10956.781100427508
2017-04-11,10890.990950665171
2017-04-12,10784.611211471018
2017-04-13,10858.5937158171
2017-04-17,10800.769932632737
2017-04-18,10617.354177506697
2017-04-19,10691.743347718859
2017-04-20,10700.042548782667
2017-04-21,10716.63456677416
2017-04-24,10517.333932410398
2017-04-25,10459.748741201362
2017-04-26,10508.97301446289
2017-04-27,10541.865022647826
2017-04-28,10517.156561965985
2017-05-01,10533.608936820528
2017-05-02,10500.676652615997
2017-05-03,10582.87392545258
2017-05-04,10450.847377958495
2017-05-05,10418.047467828756
2017-05-08,10532.666721142392
2017-05-09,10639.680255916724
2017-05-10,10647.954656698003
2017-05-11,10656.23227369887
2017-05-12,10548.594237822574
2017-05-15,10490.928102390673
2017-05-16,10334.838107192281
2017-05-17,10196.22548615586
2017-05-18,10269.112781617378
2017-05-19,10122.815425826955
2017-05-22,10090.540319208485
2017-05-23,10179.159144832083
2017-05-24,10114.426665543006
2017-05-25,10138.624804261462
2017-05-26,10187.075339390052
2017-05-30,10162.792325860364
2017-05-31,10185.295011670893
2017-06-01,10182.448847037882
2017-06-02,10353.693095164377
2017-06-05,10266.389059970948
2017-06-06,10354.294716091592
2017-06-07,10283.2718961217
2017-06-08,10240.140832790272
2017-06-09,10214.907310617835
2017-06-12,10209.609845178378
2017-06-13,10214.223181589128
2017-06-14,10433.868367978837
2017-06-15,10401.250990717397
2017-06-16,10429.717964755191
2017-06-19,10391.026246796362
2017-06-20,10516.615198745805
2017-06-21,10540.710542065233
2017-06-22,10600.069885164334
2017-06-23,10587.377555072218
2017-06-26,10618.743850416076
2017-06-27,10425.214202107918
2017-06-28,10479.184846978202
2017-06-29,10283.275483882342
2017-06-30,10279.545410267247
2017-07-03,10278.957659599624
2017-07-05,10331.862291976302
2017-07-06,10129.705724891963
2017-07-07,10175.932488342596
2017-07-10,10133.378445304414
2017-07-11,10113.440552092541
2017-07-12,10246.459040848002
2017-07-13,10226.286685112784
2017-07-14,10342.34317050431
2017-07-17,10328.675015519779
2017-07-18,10365.623228561097
2017-07-19,10472.940451502707
2017-07-20,10552.013708653078
2017-07-21,10575.640597510936
2017-07-24,10534.54384321499
2017-07-25,10451.655298463753
2017-07-26,10431.099754911429
2017-07-27,10396.463004612531
2017-07-28,10432.25731300848
2017-07-31,10442.487887671055
2017-08-01,10447.9109565091
2017-08-02,10417.47467390066
2017-08-03,10459.726702466527
2017-08-04,10403.93422834233
2017-08-07,10456.227710828645
2017-08-08,10373.426591873767
2017-08-09,10412.536486936508
2017-08-10,10283.33074306346
2017-08-11,10316.826366453493
2017-08-14,10425.68839978293
2017-08-15,10436.751665513613
2017-08-16,10503.220220377976
2017-08-17,10322.170837184423
2017-08-18,10262.701368672475
2017-08-21,10341.957987518235
2017-08-22,10473.716421459549
2017-08-23,10395.69277404945
2017-08-24,10346.136408728433
2017-08-25,10389.518895991732
2017-08-28,10423.34527837739
2017-08-29,10464.153153836047
2017-08-30,10519.693433228445
2017-08-31,10721.665942903013
